嘴,448
嘴砲,4
噏,85
噚,12
噚日,5
噤,8
器,279
器材,7
噴,176
噴霧,16
嚇,311
嚇親,25
嚎,12
嚟,4975
嚟講,331
嚴,339
嚴守,5
嚴密,4
嚴寒,3
嚴峻,4
嚴重,146
嚿,33
囂,24
囉,1340
囊,54
四,1787
四分五裂,3
四圍,29
四川,8
四月,32
四正,9
四起,5
回,1859
回去,17
回復,85
回憶,99
回應,153
回望,27
回歸,86
回程,39
回鄉證,8
回頭,92
回顧,38
回饋,8
回首,11
回魂,4
因,4512
因應,15
因為,3346
因素,78
困,190
困擾,15
困難,81
圈,252
國,3471
國家,354
國慶,6
國會,18
國王,72
國際,93
圍,711
園,356
圓,564
圖,1076
圖文並茂,3
圖片,16
圖謀,5
團,455
團友,6
團圓,21
團費,1
團體,56
土,629
土地,70
土生土長,22
在,3090
在內,13
在所難免,12
地,10558
地上,69
地下,221
地位,113
地利,11
地區,113
地名,15
地圖,79
地堂,4
地塘,6
地帶,34
地形,9
地方,940
地盤,64
地質,6
地鐵,239
地鐵站,44
地震,33
地點,83
址,69
坊,124
坎,86
坐,1071
坐低,149
坐車,5
坑,89
坑口,4
坡,54
坪,28
坳,61
垃圾,287
型,455
垢,6
埋,3697
埋一份,28
埋去,121
埋單,33
埋嚟,55
埋岸,5
埋櫃,2
埋頭,11
埋頭苦幹,4
城,872
埔,61
埕,1
埗,41
域,98
域多利,2
執,698
執到,21
執嘢,20
執拾,5
執死雞,2
執生,11
執輸,9
執雞,45
執鷄,2
基,920
基地,16
基於,59
基本,401
基本上,187
堂,704
堂食,4
堅,457
堅尼地城,2
堅拒,4
堅持,192
堆,672
堡,70
堤,30
堪,74
報,1105
報到,17
報名,12
場,2036
場地,33
場景,48
場面,77
堵,11
堵塞,7
塊,413
塑,102
塑造,26
塔,425
塗,27
塘,158
塞,162
塞車,17
填,206
填海,17
塵,126
塵土,6
塵土飛揚,2
塵封,7
境,537
境內,15
境外,3
境界,37
墓,34
增,212
增加,78
墟,14
墨,121
墩,19
墮,50
墮後,4
墳,47
墳場,14
壁,102
壁畫,18
壇,119
壓,423
壓力,108
壞,385
壤,10
壩,12
士,1419
士多,69
士的,8
壯,106
壯志,2
壯觀,8
壺,14
壽,77
夏,175
夏日,8
夕,187
外,2603
外人,65
外國,149
外圍,27
外展,1
外遊,9
外面,61
多,10140
多啲,212
多少,111
多得,57
多數,310
多時,254
多產,4
多謝,366
夜,726
夠,2007
夠數,11
夠鐘,25
夢,454
夢碎,2
大,15301
大不如前,5
大仙,27
大件,26
大件事,22
大佛,5
大佬,223
大個,120
大半,46
大同,18
大同小異,8
大嗱嗱,1
大圈,4
大團圓,14
大地,31
大坑,7
大埔,32
大多,101
大多數,67
大大,254
大失所望,7
大家,2703
大將,4
大嶼山,24
大帽山,10
大廟,9
大意,24
大戰,65
大戲,6
大把,89
大會,35
大會堂,10
大有人在,13
大東山,6
大欖,4
大浪灣,8
大澳,31
大火,23
大片,20
大牛,16
大王,17
大白象,2
大眾,120
大約,59
大細,36
大考,1
大聲,252
大聲公,11
大腿,21
大自然,22
大致,48
大街,12
大要,3
大覺瞓,2
大路,21
大道,31
大部份,180
大部分,122
大量,148
大陸,268
大隊,26
大隻,51
大難不死,2
大雨,32
大頭,82
大風,24
大飛,5
大麻,81
天,2867
天下,170
天主,27
天光,21
天公,5
天后,114
天壇,2
天天,16
天寒地凍,1
天帝,4
天文,118
天文台,93
天時,20
天朗氣清,2
天氣,140
天水圍,26
天涯,15
天淵之別,1
天然,21
天空,58
天色,18
天衣無縫,7
